species,year,season,prey.species,prey.sex,prey.age,prey.mass,prey.size,edible.biomass
leopard,2015,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2014,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2014,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2014,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2015,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2015,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2015,wet,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2014,wet,"Canerat, greater",unknown,subadult,2.8,small,2.5
leopard,2014,wet,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2015,wet,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2015,wet,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2014,dry,"Civet, African",unknown,adult,12.5,small,11.3
leopard,2015,wet,"Civet, African",unknown,adult,12.5,small,11.3
leopard,2015,wet,"Civet, African",unknown,adult,12.5,small,11.3
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,subadult,11.5,small,10.4
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,subadult,11.5,small,10.4
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,subadult,11.5,small,10.4
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,subadult,11.5,small,10.4
leopard,2014,dry,"Duiker, common",unknown,juvenile,4.9,small,4.4
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,juvenile,4.9,small,4.4
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,subadult,11.5,small,10.4
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2014,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2015,dry,"Duiker, common",unknown,subadult,11.5,small,10.4
leopard,2015,dry,"Duiker, common",unknown,juvenile,4.9,small,4.4
leopard,2013,dry,"Duiker, common",unknown,adult,16.5,small,14.9
leopard,2013,dry,"Duiker, common",unknown,subadult,11.5,small,10.4
leopard,2014,dry,"Duiker, common",unknown,subadult,11.5,small,10.4
